Date,Open,High,Low,Close,Adj Close,Volume
2024-01-22,3.1900,3.4750,3.1700,3.4200,3.4200,632508
2024-01-23,3.5000,3.7350,3.4800,3.6600,3.6600,772402
2024-01-24,3.7200,3.7750,3.6250,3.7450,3.7450,428188
2024-01-25,3.7250,3.7400,3.5900,3.7000,3.7000,299339
2024-01-26,3.7200,3.7200,3.5650,3.6150,3.6150,234335
2024-01-29,3.6150,3.7250,3.5800,3.6850,3.6850,213584
2024-01-30,3.7400,3.8300,3.7000,3.7050,3.7050,221852
2024-01-31,3.7200,3.7200,3.6500,3.6800,3.6800,75645
2024-02-01,3.6900,3.6900,3.5350,3.5500,3.5500,149336
2024-02-02,3.5500,3.6500,3.5500,3.5750,3.5750,94068
2024-02-05,3.5900,3.6100,3.4800,3.5000,3.5000,186807
